,content
0,Qatar Airways-Focus on Africa https://t.co/kzUjb3JOdt via @issuu
1,"@qatarairways @Saudi_Airlines @HIAQatar This is beautiful, so happy to see Qatar Airways tweet featuring SAUDIA!

L… https://t.co/ZLwCIy7I7e"
2,"RT @dohanews: Passengers traveling from Qatar to Saudi Arabia are finally able to after over 3 years of an air, land and sea blockade. Qata…"
3,RT @breakingavnews: Qatar Airways completes first flight to Riyadh since 2017 following reopening of borders. https://t.co/evog0jzkf9 https…
4,RT @AvionRevueInt: Qatar Airways recibió su 53º Airbus A350 https://t.co/goCveGqirH https://t.co/hFCBeG1uAH
5,"RT @liberdade_ldr: ""Ah mas a Ford foi pra Argentina""
Ela sempre esteve na Argentina. E ainda bem que ela não vai sair de lá, pois várias em…"
6,@qatarairways @Saudi_Airlines @HIAQatar Excellent news. Can't wait to resume flying with QATAR Airways.
7,"RT @liberdade_ldr: ""Ah mas a Ford foi pra Argentina""
Ela sempre esteve na Argentina. E ainda bem que ela não vai sair de lá, pois várias em…"
8,"RT @flights_smart: #SmartFlightTravelUpDate 
Qatar Airways announce  resumption of flights to Saudi Arabia, starting with services to Riyad…"
9,RT @skygoflycom: Qatar Airways Resumes Flights to Riyadh https://t.co/O5KfwH4MdG #qatarairways https://t.co/eCInhapdOn
10,"@monicabergamo Isso aquele país comunista sabe que perdeu a Latam Argentina, Qatar Airways, Emirates e Air New Zeal… https://t.co/toD7uJoMJH"
11,"""Ah mas a Ford foi pra Argentina""
Ela sempre esteve na Argentina. E ainda bem que ela não vai sair de lá, pois vári… https://t.co/LnNnOKqwTJ"
12,"@monicabergamo A Basf, Emirates, Qatar Airways, Latam, Pierre Fabre(empresa francesa), A NIKE e diversas outras emp… https://t.co/cKOBqlzSAz"
13,"Qatar Airways flight #QTR39B spotted at 26,325 feet! https://t.co/JLjEYSGUGd"
14,"@anacronices Mas a Argentina não está bem assim não. A Basf, Emirates, Qatar Airways, Latam, Pierre Fabre(empresa f… https://t.co/WKW9gQEQ4N"
15,"Qatar Airways resumes flights to Riyadh, Jeddah &amp; Dammam, Saudi Arabia - https://t.co/xmr1SobA1O
#airlines #hotels… https://t.co/u6jPFWpUij"
16,"@bslvra Fala da basf, Nike, Qatar Airways Emirates e diversas outras empresas que abandonaram a Argentina ae!"
17,argh jvois une pub de qatar airways.....
18,@juniorr4I @jihadijonnie @BarcaUniversal @carrusel 💀😭 qatar airways was another tie
19,"Qatar Airways Covid-19 PCR Test Requirements For Saudi Arabia Flights 
#QR #COVID19 #PK #KSA https://t.co/lNrrcXyl7n"
20,Qatar Airways Resumes Flights to Riyadh https://t.co/O5KfwH4MdG #qatarairways https://t.co/eCInhapdOn
21,RT @QNAEnglish: Qatar Airways on Monday resumed flights to Riyadh in the Kingdom of Saudi Arabia with a daily service for the first time si…
22,"Qatar Airways resumes flights to Riyadh 
https://t.co/tnie2j4FZ5"
23,@qatarairways I am an ex-employee of Qatar Airways. Willing to rejoin again. Please consider my request and advise… https://t.co/Ye6QqTD7IG
24,Qatar Airways resumes flights to Riyadh https://t.co/Gjcq9LLP9b
25,"Qatar Airways resumes flights to Riyadh 
https://t.co/MBG05BD0F5"
26,AERODOVE BLOG: Qatar Airways Resumes Flights To Saudi Arabia https://t.co/Nn1pXJ93l1
27,"@Liv_silly oh i love the juice burgers there....

when 3 years back in 2018 i went to Pakistan it was through Qatar… https://t.co/x8FWeT4dUp"
28,"RT @LsarowarRBLX2nd: @Airbus @qatarairways I have flown with Qatar Airways on Airbus A350-900 since 2017, it's the first time on plane goin…"
